date,algorithme,automatisation,big data,bitcoin,blockchain,chatgpt,cloud computing,cybersécurité,data science,deep learning,gpu,ia,intelligence artificielle,machine learning,metaverse,nvidia,openai,robot,réalité virtuelle,serveur
2022-03-01,93,59,86,50,87,0,36,18,37,49,29,5,18,50,64,30,0,64,80,91
2022-04-01,81,54,76,38,93,0,33,13,33,44,28,4,16,45,51,27,1,66,74,85
2022-05-01,83,60,77,61,76,0,31,15,32,47,26,5,14,45,38,25,1,71,63,79
2022-06-01,80,61,62,74,74,0,24,15,33,41,27,6,12,43,38,23,1,60,62,82
2022-07-01,44,45,41,53,58,0,21,11,25,32,25,4,9,34,29,23,1,54,54,75
2022-08-01,40,43,40,45,52,0,18,10,24,29,26,4,9,30,26,24,1,53,54,82
2022-09-01,83,61,94,41,59,0,30,15,30,34,26,6,13,38,37,26,1,49,59,73
2022-10-01,86,55,71,30,58,0,31,16,31,39,30,6,14,44,41,28,2,63,73,78
2022-11-01,89,58,72,51,61,0,33,15,33,40,32,7,17,44,41,30,2,77,93,78
2022-12-01,75,49,54,31,47,5,24,13,25,34,32,12,23,36,27,28,29,66,92,73
2023-01-01,91,65,66,34,58,18,35,18,33,46,31,16,44,46,28,28,55,60,75,81
2023-02-01,78,60,59,32,56,17,26,18,33,39,35,14,36,43,26,28,37,53,76,77
2023-03-01,88,64,60,40,57,19,34,21,30,44,29,17,42,43,22,25,41,58,68,78
2023-04-01,76,57,58,33,48,22,28,18,30,42,30,20,53,41,18,23,39,74,66,76
2023-05-01,75,52,47,25,45,20,28,17,27,39,28,22,48,39,13,25,35,81,59,68
2023-06-01,67,62,43,26,45,17,27,18,29,34,30,20,37,39,11,25,25,62,53,74
2023-07-01,41,51,34,24,36,13,21,15,24,33,30,17,22,32,11,23,16,56,53,70
2023-08-01,39,47,33,26,34,11,22,12,22,26,31,18,22,29,7,29,13,53,50,71
2023-09-01,68,59,77,22,38,19,30,19,30,32,32,23,32,36,10,26,16,49,49,70
2023-10-01,78,59,56,27,42,21,31,20,31,40,32,28,31,40,13,26,19,52,69,71
2023-11-01,80,66,50,30,43,21,30,22,31,39,33,30,40,42,11,31,30,72,72,72
2023-12-01,89,67,42,36,43,20,31,17,24,36,37,34,39,34,7,27,19,71,87,74
2024-01-01,76,76,45,46,43,19,28,20,30,40,35,32,40,40,7,31,20,57,61,76
2024-02-01,76,73,52,41,49,21,34,24,33,45,39,37,40,50,8,51,30,55,80,82
2024-03-01,76,70,49,68,60,21,40,26,35,46,37,39,38,45,7,47,21,61,68,79
2024-04-01,74,76,46,49,51,20,37,21,27,41,34,40,34,42,6,34,17,66,64,74
2024-05-01,83,74,47,32,38,19,30,20,27,39,34,40,36,38,5,39,23,70,53,71
2024-06-01,63,77,44,27,37,17,33,20,28,38,35,38,31,42,5,52,23,63,49,71
2024-07-01,35,60,33,30,31,11,28,17,23,32,32,32,25,36,4,39,15,63,49,71
2024-08-01,31,59,29,33,30,12,35,13,23,27,35,34,23,28,3,50,15,57,50,67
2024-09-01,61,74,54,28,36,24,37,22,28,33,36,46,30,37,4,43,22,56,51,70
2024-10-01,70,73,72,27,37,35,36,23,33,39,37,54,36,46,5,43,25,83,72,77
2024-11-01,73,82,42,85,51,44,38,21,33,39,39,58,39,41,4,55,22,87,76,68
2024-12-01,59,74,39,68,50,46,31,18,26,32,43,61,40,36,4,47,26,73,82,79
2025-01-01,74,91,45,63,54,46,39,24,32,38,47,74,58,43,4,83,29,64,59,79
2025-02-01,67,92,48,52,55,43,39,100,32,45,48,100,100,47,4,68,32,62,80,92
2025-03-01,73,93,40,51,43,47,39,90,33,41,45,80,69,43,3,53,27,69,57,73
2025-04-01,63,88,35,45,46,57,33,82,29,36,40,85,59,37,3,53,34,86,59,71
2025-05-01,61,80,37,41,64,58,36,18,26,32,42,76,34,33,3,43,27,89,45,73
2025-06-01,55,87,39,32,78,70,41,20,29,39,40,72,35,44,3,40,28,75,39,70
2025-07-01,33,74,32,41,66,64,29,16,25,32,37,58,29,36,3,41,23,67,41,67
2025-08-01,29,73,28,38,49,50,26,13,23,25,43,55,25,30,2,48,27,64,48,70
2025-09-01,59,83,54,31,48,79,30,21,27,32,41,71,34,35,3,41,27,60,47,67
2025-10-01,52,81,45,45,42,80,36,20,27,37,41,83,33,38,3,49,39,64,59,74
2025-11-01,62,89,86,76,70,100,98,20,92,89,98,89,36,97,4,100,100,100,67,75
2025-12-01,51,100,98,57,74,86,100,18,100,100,100,88,32,100,6,77,86,80,70,71
